title,avg_hours_watched,avg_hours_streamed,avg_streamers,avg_viewers,avg_channels,app_id,release_date,reviews_total,review_avg_percent,launch_price_cents,dataset_est_rev_cents
.hack//G.U. Last Recode,145350,35258,3174,202,49,525480,2017-11-03,2689,87.0,4999,13442311
20 Minutes Till Dawn,911356,12253,3616,1267,17,1966900,2023-06-08,20942,92.0,499,10450058
60 Parsecs!,529688,1867,606,736,2,646270,2018-09-18,2315,89.0,999,2312685
60 Seconds!,314900,1023,420,424,0,368360,2015-05-25,9979,84.0,899,8971121
7 Days to Die,1023033,89486,8880,1397,122,251570,2013-12-13,185945,88.0,2499,464676555
A Dance of Fire and Ice,452164,7002,2833,645,9,977950,2019-01-24,51538,94.0,599,30871262
A Hat in Time,331964,13813,2510,450,18,253230,2017-10-05,37936,98.0,2999,113770064
A Plague Tale: Innocence,1700679,36870,5592,2305,49,752590,2019-05-14,46879,93.0,6999,328106121
A Plague Tale: Requiem,2512917,96420,15296,3399,130,1182900,2022-10-17,8546,91.0,6999,59813454
A Way Out,2350131,54092,13037,3179,73,1222700,2018-03-23,31900,86.0,2999,95668100
ABZU,338342,5738,2587,455,7,384190,2016-08-02,18585,93.0,1999,37151415
AI: The Somnium Files,478332,5140,444,655,6,948740,2019-09-17,6312,91.0,5999,37865688
ALTF4,2137753,12024,4527,2921,16,1137460,2021-11-12,8835,81.0,299,2641665
ANIME STANDING,807420,8907,381,1122,12,1253870,2020-07-14,1422,87.0,99,140778
ARAYA,142823,437,184,198,0,466740,2016-11-24,646,77.0,1499,968354
ARK: Survival Evolved,2104367,151544,14158,2897,207,346110,2017-08-27,490099,83.0,2999,1469806901
ASTRONEER,767350,21185,2990,1063,29,361420,2016-12-16,93738,91.0,2999,281120262
Abandon Ship,186349,1426,392,277,2,551860,2019-10-22,984,71.0,2499,2459016
Absolver,547252,17620,4486,741,24,473690,2017-08-29,10789,73.0,2999,32356211
Against the Storm,616743,7701,867,857,10,1336490,2022-11-01,12126,95.0,2999,36365874
Age of Darkness: Final Stand,685365,4891,701,922,6,1426450,2021-10-07,5052,82.0,2199,11109348
Age of Empires II: Definitive Edition,2572347,34905,3349,3513,47,813780,2019-11-14,112769,94.0,1999,225425231
Age of Empires: Definitive Edition,268536,1770,362,361,2,1017900,2019-08-19,10606,84.0,1999,21201394
Age of Wonders 4,1290974,28091,2837,1737,37,1669000,2023-05-02,7503,80.0,4999,37507497
Age of Wonders: Planetfall,501000,10589,1379,674,14,718850,2019-08-06,4224,80.0,4999,21115776
Agents of Mayhem,318873,9767,1927,429,13,304530,2017-08-15,3038,59.0,5999,18224962
Agony,487171,6792,2415,655,9,487720,2018-05-29,2047,48.0,2999,6138953
Agrou,584592,1857,417,800,2,1305420,2020-07-25,1967,89.0,1199,2358433
Alien: Isolation,482881,22720,4741,654,30,214490,2014-10-06,37348,92.0,3999,149354652
Aliens: Dark Descent,1469764,22817,3103,2044,31,1150440,2023-06-19,5154,88.0,3999,20610846
Aliens: Fireteam Elite,3015624,71646,10094,4058,96,1549970,2021-08-23,15473,81.0,3999,61876527
Amanda the Adventurer,1066388,8540,3543,1449,11,2166060,2023-04-25,3323,95.0,899,2987377
American Truck Simulator,456172,17331,2561,642,23,270880,2016-02-02,105309,96.0,1999,210512691
Amnesia: Rebirth,3963640,63754,11206,5334,85,999220,2020-10-20,6301,77.0,2999,18896699
Amnesia: The Bunker,2604862,77607,29829,3622,107,1944430,2023-06-06,3343,92.0,2499,8354157
Amnesia: The Dark Descent,225547,4310,1327,303,5,57300,2010-09-08,16987,95.0,1999,33957013
Among Us,15849833,296428,68944,21747,406,945360,2018-11-16,585788,92.0,499,292308212
Among Us VR,1266293,6102,2442,1761,8,1849900,2022-11-10,1909,77.0,999,1907091
Ancestors: The Humankind Odyssey,1436556,19366,3039,1963,26,536270,2020-08-27,6411,80.0,3999,25637589
Angvik,506384,2610,684,681,3,278890,2014-02-24,1992,88.0,299,595608
Anno 1800,1379215,25685,3132,1921,34,916440,2019-04-01,9340,81.0,5999,56030660
Arcanum: Of Steamworks and Magick Obscura,310380,238,36,431,0,500810,2001-08-22,1339,88.0,599,802061
Archvale,781919,7525,1338,1052,10,1296360,2021-12-02,1597,89.0,1499,2393903
Arma 3,1570368,67987,6725,2152,92,107410,2013-09-12,154464,91.0,2999,463237536
Arma Reforger,664480,12929,3166,894,17,1874880,2022-05-17,7433,59.0,2999,22291567
Artifact,2574664,39952,5785,3528,53,583950,2018-11-28,24811,55.52,1999,49597189
As Dusk Falls,2472757,26926,7570,3328,36,1341820,2022-07-19,1872,91.0,2999,5614128
Ashen,917664,15256,3320,1235,20,649950,2019-12-09,2640,69.0,3999,10557360
Assassin's Creed Valhalla,5353420,256689,26200,7408,354,2208920,2022-12-06,10386,67.0,5999,62305614
Assetto Corsa,784266,19639,3163,1090,27,244210,2014-12-19,77526,92.0,1999,154974474
Assetto Corsa Competizione,784411,38123,4995,1084,52,805550,2019-05-29,18095,91.0,3999,72361905
At Dead Of Night,1156218,6388,1285,1556,8,1450830,2020-11-19,1856,94.0,1499,2782144
Atomic Heart,3998058,161996,36979,5873,231,668580,2023-02-20,18176,84.0,5999,109037824
BATTLETECH,891367,26912,2686,1226,36,637090,2018-04-24,19369,83.0,3999,77456631
BETON BRUTAL,1247092,3025,812,1734,4,2330500,2023-03-31,625,95.0,699,436875
BONEWORKS,361796,13695,3444,486,18,823500,2019-12-10,31775,92.0,2999,95293225
BPM: BULLETS PER MINUTE,708614,13026,3276,985,18,1286350,2020-09-15,8373,92.0,1999,16737627
Back 4 Blood,6077030,232005,38193,8202,313,924970,2021-10-12,36130,66.0,5999,216743870
Backpack Hero,688264,5080,1091,926,6,1970580,2022-08-15,3177,90.0,1699,5397723
Baldur's Gate 3,15671913,556982,43456,21198,758,1086940,2020-10-06,63044,89.0,5999,378200956
Barn Finders,480523,5631,934,668,7,991170,2020-06-15,3271,83.0,1999,6538729
Barotrauma,619057,8447,1367,840,11,602960,2023-03-13,34830,93.0,3499,121870170
Battle Brothers,540929,6408,379,737,8,365360,2017-03-24,18255,88.0,2999,54746745
Battle Chasers: Nightwar,788908,16914,2073,1061,22,451020,2017-10-03,5035,87.0,2999,15099965
BattleBit Remastered,6292272,146138,27123,8577,198,671860,2023-06-15,63529,90.0,1499,95229971
Battlefleet Gothic: Armada,122976,3914,625,171,5,363680,2016-04-21,4664,68.0,3999,18651336
Battlerite Royale,1803500,31248,4639,2452,42,879160,2018-09-26,8095,74.0,1999,16181905
Bayonetta,396836,9267,1909,551,12,460790,2017-04-11,21097,92.0,1999,42172903
Beat Saber,382558,33583,8415,525,45,620980,2019-05-21,63326,95.0,2999,189914674
Beholder,209247,1492,372,291,2,475550,2016-11-09,17681,91.0,999,17663319
Ben and Ed,111484,712,290,160,1,395200,2015-12-08,2867,82.0,999,2864133
Ben and Ed - Blood Party,133973,213,99,180,0,500260,2018-02-13,1772,88.0,1499,2656228
Bendy and the Dark Revival,703451,15360,3442,978,21,1063660,2022-11-15,7762,94.0,2999,23278238
Beyond: Two Souls,248138,880,476,333,1,960990,2020-06-18,15000,88.0,1999,29985000
Big Ambitions,1861327,18378,2294,2505,24,1331550,2023-03-10,5486,93.0,2299,12612314
Bio Inc. Redemption,274119,794,216,368,1,612470,2018-03-08,1685,89.0,1299,2188815
Black Desert,4642169,130426,7702,6347,178,582660,2017-05-24,48662,76.0,999,48613338
Black Mesa,758143,14957,2563,1020,19,362890,2020-03-06,92515,95.0,1999,184937485
Blackwake,669747,8771,1720,937,11,420290,2020-02-19,20521,82.0,1999,41021479
Blair Witch,856198,25603,8163,1170,34,1092660,2019-08-30,4596,77.0,2999,13783404
Blasphemous,836704,17467,2994,1154,24,774361,2019-09-10,26193,90.0,2499,65456307
BlazBlue: Cross Tag Battle,383051,11788,2146,520,15,702890,2019-11-20,2827,81.0,4999,14132173
Blazing Sails,995524,6478,1286,1384,9,1158940,2020-11-05,5388,89.0,2499,13464612
Blood Bowl 2,218074,4154,389,301,5,236690,2015-09-22,6551,78.0,1999,13095449
Bloodstained: Ritual of the Night,1436303,59326,7103,1987,81,692850,2019-06-18,24835,94.0,3999,99315165
Bloons TD 5,225799,843,270,313,0,306020,2014-11-19,9358,94.0,999,9348642
Bloons TD 6,1873428,34746,7320,2575,47,960090,2018-12-17,234108,97.0,1399,327517092
Bomber Crew,185586,2923,650,249,3,537800,2017-10-19,8354,89.0,1999,16699646
Book of Demons,274322,5299,1201,369,7,449960,2017-12-07,8201,88.27,2499,20494299
Borderlands 2,520836,35617,6309,716,48,49520,2012-09-17,183303,95.0,5999,1099634697
Borderlands 3,2058405,128000,14685,2839,175,397540,2020-03-13,93999,85.0,7999,751898001
Borderlands: The Pre-Sequel,287491,3450,878,399,4,261640,2014-10-14,27028,83.0,3999,108084972
Bramble: The Mountain King,1380570,18745,4564,1858,25,1623940,2023-04-27,1378,96.0,2999,4132622
Bread & Fred,710696,8959,4517,956,12,1607680,2023-05-23,788,85.0,1499,1181212
Breathedge,759308,8760,1478,1069,11,738520,2021-02-25,11945,84.0,2499,29850555
Bridge Constructor Portal,481529,3218,968,647,4,684410,2017-12-20,4432,91.0,999,4427568
Brotato,1483862,15167,3700,2031,20,1942280,2023-06-23,42661,96.0,499,21287839
Bugsnax,1779642,25438,5013,2475,35,674140,2022-04-28,3380,97.0,2499,8446620
Bully: Scholarship Edition,609280,2365,766,819,2,12200,2008-10-21,24017,84.0,1499,36001483
Bus Simulator 18,334927,5019,1025,465,6,515180,2018-06-13,7458,79.0,3499,26095542
Call of the Sea,515643,8380,1806,694,11,1042490,2020-12-08,2643,89.0,1999,5283357
Captain Tsubasa: Rise of New Champions,879747,16909,2665,1198,22,1163550,2020-09-28,3282,68.0,5999,19688718
Car Mechanic Simulator 2018,320046,9280,1510,430,12,645630,2017-07-28,41952,90.0,1999,83862048
Car Mechanic Simulator 2021,772477,37536,4374,1039,50,1190000,2021-08-11,19538,95.0,2499,48825462
Card Shark,633342,3589,1008,880,4,1371720,2022-06-02,1886,92.0,1999,3770114
Cat Goes Fishing,171628,312,113,234,0,343780,2015-01-19,8272,94.0,699,5782128
Celeste,409971,16832,3173,572,23,504230,2018-01-25,69963,97.0,1999,139856037
Children of Morta,400622,6172,1214,548,8,330020,2019-09-03,13364,89.0,2199,29387436
Chivalry 2,1640922,43963,9692,2265,60,1824220,2022-06-12,23329,82.0,3999,93292671
Choo-Choo Charles,2921502,31747,12009,3932,42,1766740,2022-12-09,10698,92.0,1999,21385302
Cities: Skylines,455741,15787,3037,630,21,255710,2015-03-10,176219,93.0,2999,528480781
Close to the Sun,343108,3465,867,461,4,968870,2020-05-05,506,75.0,1999,1011494
Clustertruck,235677,3918,1766,317,5,397950,2016-09-27,11015,93.0,1499,16511485
Comedy Night,285095,3111,1062,390,3,665360,2017-08-24,7314,75.0,499,3649686
Company of Heroes 2,159303,6477,708,218,8,231430,2013-06-25,61477,80.0,1999,122892523
Company of Heroes 3,1015251,15128,1854,1440,21,1677280,2023-02-23,10976,53.0,5999,65845024
Conan Exiles,1655101,57901,5149,2297,79,440900,2018-05-08,63484,78.0,3999,253872516
Conarium,144839,1541,441,201,2,313780,2017-06-06,1650,78.0,1999,3298350
Condemned: Criminal Origins,156162,723,190,210,0,4720,2006-04-11,2089,88.0,1499,3131411
Construction Simulator,1327372,28415,3838,1846,39,1273400,2022-09-20,4783,80.0,3499,16735717
Construction Simulator 2015,99531,698,141,143,1,289950,2014-11-18,4383,79.0,2999,13144617
Contraband Police,3905618,28039,6492,5273,37,756800,2023-03-08,6737,94.0,1999,13467263
"Cook, Serve, Delicious! 2!!",190415,3141,788,264,4,386620,2017-09-13,1952,90.0,1299,2535648
Cooking Simulator,1229701,12400,3711,1700,16,641320,2019-06-06,14504,84.0,1999,28993496
Core Keeper,2526164,60725,9204,3399,81,1621690,2022-03-08,20530,91.0,1599,32827470
Corpse Party,250546,826,157,337,1,251270,2016-04-25,1040,90.0,1499,1558960
Cossacks 3,191679,2599,602,266,3,333420,2016-09-20,9050,80.0,1999,18090950
Counter-Strike,53172684,913781,141632,72571,1248,10,2000-11-01,137421,97.0,999,137283579
Counter-Strike: Global Offensive,48489362,906847,123006,66604,1243,730,2012-08-21,7382695,88.0,1499,11066659805
Crab Champions,1660800,37349,8423,2309,51,774801,2023-04-01,11136,98.0,999,11124864
Craftopia,728696,41239,6014,1013,57,1307550,2020-09-04,15393,80.0,2499,38467107
Crea,177699,1527,255,247,2,280520,2016-06-09,1037,74.0,1499,1554463
CrossCode,317209,7636,959,435,10,368340,2018-09-20,12465,93.0,1999,24917535
Crossout,238252,20770,3452,326,28,386180,2017-07-26,55745,76.0,2999,167179255
Crusader Kings III,2160576,34005,3503,3009,47,1158310,2020-09-01,61487,92.0,4999,307373513
Cube World,853426,21667,4736,1186,30,1128000,2019-09-30,9485,43.0,1999,18960515
Cult of the Lamb,3745982,137361,21527,5078,186,1313140,2022-08-11,48934,94.0,2499,122286066
Cuphead,1200529,42924,13286,1637,58,268910,2017-09-29,125572,96.0,1999,251018428
Curse of the Dead Gods,895826,12449,2001,1205,16,1123770,2021-02-23,6047,85.0,1999,12087953
Cyberpunk 2077,5069059,254519,30143,6883,346,1091500,2020-12-09,549004,80.0,5999,3293474996
DEATHLOOP,5285183,87875,11199,7350,122,1252330,2021-09-13,16760,77.0,5999,100543240
DEVOUR,1126581,38684,14893,1554,53,1274570,2021-01-28,49036,92.0,499,24468964
DNF Duel,1253414,24996,4427,1701,33,1216060,2022-06-27,3359,62.0,4999,16791641
DOOM,620890,35232,9235,842,47,379720,2016-05-12,120073,95.0,5999,720317927
DOOM 3,116783,1981,584,157,2,208200,2012-10-15,6568,85.0,2999,19697432
DOOM 3,116783,1981,584,157,2,9050,2007-08-03,5462,78.74,999,5456538
DOOM Eternal,2281359,105214,15405,3086,142,782330,2020-03-19,151201,91.0,5999,907054799
DRAGON BALL Z: KAKAROT,5108815,163319,20528,6924,223,851850,2020-01-16,32219,93.0,8499,273829281
Danganronpa 2: Goodbye Despair,303180,2896,264,417,3,413420,2016-04-18,21395,96.0,2999,64163605
Danganronpa V3: Killing Harmony,786379,12746,1087,1063,17,567640,2017-09-25,15751,85.0,3999,62988249
Danganronpa: Trigger Happy Havoc,375249,3012,349,529,3,413410,2016-02-18,24399,96.0,2999,73172601
Dark and Light,1180290,28388,2496,1588,38,529180,2017-07-20,10111,53.0,2999,30322889
Darksiders Genesis,634741,15600,2514,854,20,710920,2019-12-05,8141,83.0,2999,24414859
Darksiders III,1249179,26178,4489,1725,35,606280,2018-11-27,9287,76.0,5999,55712713
Darkwood,559093,4613,997,763,5,274520,2017-08-17,14180,94.0,1499,21255820
Darwin Project,1001573,42262,8359,1361,57,544920,2020-01-13,18503,81.0,1499,27735997
Dawn of Man,613272,15783,2465,825,21,858810,2019-03-01,14653,86.0,2499,36617847
DayZ,3084315,119869,11534,4224,163,221100,2018-12-13,293735,74.0,4499,1321513765
Daymare: 1998,375548,4610,1062,522,6,842100,2019-09-17,2415,72.0,2999,7242585
Days Gone,2376998,117013,13832,3249,159,1259420,2021-05-17,43992,92.0,4999,219916008
Dead Cells,609947,20170,4916,831,27,588650,2018-08-06,116513,97.0,2499,291165987
Dead Rising 4,1057028,24081,53,1422,32,543460,2017-03-14,3638,58.0,5999,21824362
Dead Space,2504782,74009,14945,3492,105,1693980,2023-01-27,24600,91.0,5999,147575400
Dead by Daylight,13545274,738369,68595,18559,1011,381210,2016-06-14,486959,80.0,1999,973431041
Deadside,1382600,62758,6331,1922,87,895400,2020-04-14,26380,78.0,1999,52733620
Death Road to Canada,213419,2846,515,287,3,252610,2016-07-21,6419,93.0,1499,9622081
Death's Door,1350342,28499,4463,1817,38,894020,2021-07-20,12592,93.0,1999,25171408
Deceive Inc.,1251211,24845,4748,1711,33,820520,2023-03-21,3305,86.0,1999,6606695
Deep Rock Galactic,756740,26750,3958,1018,35,548430,2020-05-13,180721,97.0,2999,541982279
Defunct,163697,106,25,220,0,359350,2016-01-29,532,81.0,999,531468
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,1641397,93397,15889,2209,125,1490890,2021-10-15,12366,81.46,5999,74183634
Deponia Doomsday,298823,2096,320,402,2,421050,2016-03-01,2399,84.0,1999,4795601
Descenders,248957,1349,484,371,2,681280,2019-05-07,11696,95.0,2499,29228304
Desperados III,900772,14561,1862,1252,20,610370,2020-06-16,8005,96.0,4999,40016995
Destiny 2,7174193,565819,53869,9832,775,1085660,2019-10-01,555551,82.0,3499,1943872949
Destroy All Humans!,1103461,23974,5565,1485,32,803330,2020-07-28,7406,93.0,2999,22210594
Detention,617452,5696,1791,831,7,555220,2017-01-12,9292,95.0,1199,11141108
Detroit: Become Human,1220924,27672,6309,1661,37,1222140,2020-06-18,74924,94.0,3999,299621076
Deus Ex: Human Revolution - Director's Cut,312918,3409,469,423,4,238010,2013-10-25,21763,92.0,1999,43504237
Deus Ex: Mankind Divided,1317586,19783,4792,1776,26,337000,2016-08-23,27485,75.0,5999,164882515
Devil Daggers,180538,1297,520,242,1,422970,2016-02-18,6326,96.0,999,6319674
Devil May Cry 5,2393049,102567,16800,3225,138,601150,2019-03-07,69540,95.0,5999,417170460
Devil May Cry HD Collection,236415,8296,2526,318,11,631510,2018-03-13,6509,91.0,2999,19520491
DiRT Rally,112223,22621,4291,156,31,310560,2015-12-07,38231,77.76,3499,133770269
Dicey Dungeons,610707,6834,1461,828,8,861540,2019-08-13,8391,89.0,1499,12578109
Die Young,160927,625,176,223,0,433170,2019-09-12,1403,80.0,1999,2804597
Digimon Survive,709602,49981,4996,955,67,871980,2022-07-28,2181,80.0,5999,13083819
Digimon World: Next Order,153421,15450,1712,228,23,1530160,2023-02-21,518,85.0,5999,3107482
Dinkum,1225110,40889,5595,1648,54,1062520,2022-07-14,15130,95.0,1999,30244870
Disc Jam,204838,3538,2183,279,4,415880,2017-03-07,797,83.0,1499,1194703
Dishonored,234719,6891,1891,325,9,205100,2012-10-08,55990,97.0,999,55934010
Dishonored 2,1270441,33698,4784,1762,46,403640,2016-11-11,33500,88.0,5999,200966500
Disney Dreamlight Valley,1647699,100938,14998,2267,138,1401590,2022-09-06,11307,93.0,2999,33909693
Doki Doki Literature Club Plus!,1051769,38120,6863,1415,51,1388880,2021-06-30,19246,96.0,1499,28849754
Dome Keeper,1270473,7498,1859,1738,10,1637320,2022-09-27,6616,90.0,1799,11902184
Domina,395205,4045,855,542,5,535230,2017-04-03,8240,35.86,1999,16471760
Don't Starve,161954,8040,1802,223,10,219740,2013-04-23,86669,96.0,999,86582331
Don't Starve Together,634612,29984,4556,869,40,322330,2016-04-21,276084,95.0,1499,413849916
Dota 2,42350161,509145,36145,58036,697,570,2013-07-09,2017009,82.0,2999,6049009991
Dragon Age: Origins,650753,9328,1218,905,12,17450,2009-11-05,8806,76.12,1999,17603194
Dragon's Dogma: Dark Arisen,652855,17834,2236,896,23,367500,2016-01-15,26491,89.0,2999,79446509
Drawful 2,256962,3795,1324,351,4,442070,2016-06-20,715,91.0,999,714285
Dread Hunger,1458541,8201,722,1993,10,1418630,2022-01-26,40357,61.0,2999,121030643
DreadOut 2,399008,1179,282,574,1,945710,2020-02-21,1431,75.0,1999,2860569
Dream Daddy: A Dad Dating Simulator,544538,11682,3257,732,15,654880,2017-07-20,4819,91.0,1499,7223681
Drug Dealer Simulator,2159568,29373,4863,3003,40,682990,2020-04-16,14048,87.0,1999,28081952
Duke Nukem Forever,180847,187,45,243,0,57900,2011-06-13,5260,69.0,1999,10514740
Dungeons & Dragons: Dark Alliance,1967471,66811,11301,2736,92,623280,2021-06-21,3685,50.0,3999,14736315
Dungreed,1300805,10965,2068,1852,15,753420,2018-02-14,7564,92.0,999,7556436
Dwarf Fortress,2991022,36642,4248,4025,49,975370,2022-12-06,19399,95.0,2999,58177601
Dying Light,598969,40434,9175,824,55,239140,2015-01-26,280975,95.0,3999,1123619025
Dying Light: Bad Blood,589867,6088,1638,820,8,766370,2018-09-13,1087,62.24,1999,2172913
Dyson Sphere Program,936196,33932,2919,1330,48,1366540,2021-01-20,64823,97.0,1999,129581177
